Year,Consumer price index (2010 = 100),Inflation consumer prices (%),Inflation  GDP deflator (%),Lending interest rate (%),Real interest rate (%),Total debt service,Total debt service (% of GNI),Current account balance (% of GDP),Current account balance (US$),Trade (% of GDP),Total Population,Current account balance by population ($)
1976,0.000102208,4.494011647,8.598920874,,,22.56822586,5.314132534,-1.957305138,-53500000,57.56306364,5244355,-10.20144517
1977,0.000110494,8.107255521,12.54061843,,,24.83973558,5.504637139,-3.65122869,-117900000,56.41907062,5363917,-21.98020588
1978,0.000121937,10.35567228,14.10381081,,,53.45872592,10.35117382,-8.816254887,-331500000,52.70338555,5486132,-60.42508638
1979,0.000145982,19.71971678,19.79717364,,,34.10883388,6.888771608,-8.801684957,-397000000,51.57077929,5610380,-70.76169529
1980,0.000214947,47.2416501,25.04894359,,,35.46032554,8.86688003,-0.143808331,-6400000,46.81300804,5736088,-1.115742994
1981,0.000284017,32.13360111,29.48603589,,,36.21054092,6.844471914,-8.092860105,-467644936.8,46.21977151,5862990,-79.76219246
1982,0.000634879,123.5357186,158.2827498,,,59.74877534,10.58800218,-3.100232973,-173625000,58.46826108,5991118,-28.98040065
1983,0.002384519,275.5862836,265.1979603,,,51.86040903,9.227483575,-2.60128907,-140834000,52.35582143,6120620,-23.00976045
1984,0.032938553,1281.349942,1443.397286,,,63.88089981,9.413781484,-2.882156331,-177809000,49.47473375,6251926,-28.44067572
1985,3.903099879,11749.63963,12338.66022,,,50.29846503,7.411528977,-5.30565969,-285300000,41.89279121,6385630,-44.67844206
1986,14.6887687,276.3359676,230.1052223,,,37.44749801,7.0199125,-9.816250385,-388663000,47.0313574,6521983,-59.59276496
1987,16.83019999,14.57869845,14.58419382,49.41416667,30.39683894,34.33527536,5.655328582,-9.941130187,-432236000,43.62265667,6661434,-64.88632928
1988,19.52338392,16.00209105,17.5233371,39.79416667,18.95013375,54.93067682,8.735029135,-6.620741794,-304396000,41.90625186,6804072,-44.73732788
1989,22.48575835,15.17346811,13.18642127,37.27333333,21.28074356,33.50250135,6.695428402,-5.72734354,-270100000,45.65468554,6949139,-38.86812453
1990,26.33504464,17.1187746,16.26794198,41.81333333,21.97113917,39.3681214,8.484761272,-4.086217255,-198900000,46.70327259,7096194,-28.02910969
1991,31.98314005,21.44706982,17.68944022,41.1475,19.93217041,35.72214947,6.602229311,-4.914600436,-262600000,48.44496887,7244891,-36.246232
1992,35.84041024,12.0603236,13.19920441,45.51166667,28.54477858,37.24996912,5.408122992,-9.459823107,-533900000,49.11085788,7394419,-72.20310345
1993,38.89683632,8.527876957,6.557158191,53.87666667,44.40762993,37.89424386,6.210385279,-8.814760058,-505500000,47.46712569,7544489,-67.00254981
1994,41.95959042,7.874044215,7.952207725,55.57333333,44.11315582,29.53461656,6.110937462,-1.50805282,-90200000,48.8608505,7693722,-11.72384445
1995,46.23661822,10.19320676,11.42728171,51.0175,35.53009432,29.96187133,5.81002058,-4.504731413,-302500000,49.7379871,7841471,-38.57694558
1996,51.98174303,12.42548662,11.58020687,55.96666667,39.77986871,31.22189518,5.82648082,-5.133062206,-379690000,49.85629137,7989367,-47.52441589
1997,54.42927448,4.70844436,5.705043358,50.05,41.95159969,31.85163184,6.231008669,-6.983577836,-553500000,50.46966281,8137619,-68.01743852
1998,58.60575733,7.673228957,7.051126765,39.41166667,30.22905118,29.61712215,5.268001537,-7.838781044,-666100000,52.28116296,8286928,-80.37960508
1999,59.8713582,2.159516268,2.411565889,35.36916667,32.18152217,28.91298507,5.246888608,-5.890117136,-488000000,44.16825649,8439052,-57.82640041
2000,62.63036808,4.608229989,5.195405208,34.59583333,27.94839572,39.84833578,7.849078574,-5.315046261,-446349904,45.59777502,8592656,-51.94551067
2001,63.62597409,1.589653779,1.870093658,20.05706122,17.85309791,33.53620436,6.943239147,-3.365607815,-274011530,45.22782243,8746084,-31.32962478
2002,64.21658783,0.928258852,2.820757397,20.63245674,17.32305791,29.12139679,6.272003829,-4.451755641,-351932880.9,49.35026037,8900583,-39.54043021
2003,66.35967196,3.337274997,6.329992293,17.66328905,10.65860771,21.41675012,5.594068286,0.935302519,75594887.42,51.96783644,9057378,8.346221988
2004,69.3043033,4.437380801,7.967709509,14.46988333,6.022331912,19.77287419,6.217883104,3.846826322,337499451.3,57.46426609,9216279,36.6199256
2005,73.04204452,5.393231069,5.94079763,16.61504167,10.07566894,15.66352101,5.806937451,6.51828634,622439173.9,67.64194136,9377388,66.37660443
2006,76.16999415,4.282396048,13.66367954,11.89128333,-1.55933383,9.69615044,4.021392617,11.50445477,1317472317,74.53784843,9542663,138.061285
2007,82.80105619,8.705609236,7.373353861,12.86080833,5.110629663,13.95370693,5.882308508,12.12830067,1591246147,76.06191145,9711152,163.857609
2008,94.39884345,14.00681077,10.38118176,13.87333333,3.163720043,12.90130894,5.891482561,11.95073793,1992699061,82.8670209,9880593,201.6780836
2009,97.55785751,3.346454201,-2.419894328,12.359625,15.14603743,10.32692651,3.508743038,4.691697614,813540000,68.62707391,10051317,80.93864714
2010,100,2.503276058,8.777508116,9.909927149,1.041041528,9.477805116,3.495256326,4.446605369,873745670.1,75.51162625,10223270,85.4663596
2011,109.8844642,9.884464198,14.60235424,10.91539234,-3.217178149,4.823567899,1.943844797,2.241794613,537204935.3,82.48039542,10396246,51.67297266
2012,114.8464103,4.515602914,7.100275501,11.13494786,3.767191392,5.247560428,2.556124451,7.273677909,1970039110,84.94876117,10569697,186.3855804
2013,121.43446,5.736400237,5.995388369,11.05139928,4.770029141,4.255668878,1.912852892,3.437720627,1053982417,81.23090753,10743349,98.1055737
2014,128.4371005,5.766600746,2.049497726,9.694228216,7.491198547,6.977643976,3.143579216,1.716048836,566230700.6,85.26446956,10916987,51.86693916
2015,133.6511464,4.059610411,-4.620602258,8.073253797,13.3088029,9.898839527,3.117666035,-5.867265944,-1936209393,67.93284519,11090085,-174.5892293
2016,138.4936139,3.623214318,-1.354870581,7.952026061,9.434724955,9.219539095,2.327809401,-5.619272159,-1907244255,56.4010345,11263015,-169.3369186
2017,142.4029535,2.822758055,6.061399962,8.109892032,1.931420923,10.02414778,2.690588916,-5.060811788,-1898241784,56.70465276,11435533,-165.9950423
2018,145.6384339,2.272059872,3.056265753,8.037242527,4.833259518,9.519566564,2.562047586,-4.281655221,-1724978181,57.10996461,11606905,-148.6165503
2019,148.3175185,1.83954505,-0.693003272,8.39953171,9.155986266,10.36523628,2.694613885,-3.340467252,-1366094867,56.39730673,11777315,-115.9937445
2020,149.7128039,0.940742153,-1.854386683,7.592223722,9.62509692,15.55358504,3.246420267,-0.043450218,-15915747.11,45.50326262,11936162,-1.333405755
2021,150.8167617,0.737383721,3.956119685,8.01711817,3.906454471,14.21928092,4.152134938,3.912430449,1580861017,59.02139656,12079472,130.8716985
2022,153.4505182,1.746328729,5.124464432,7.764988722,2.511807603,16.52286372,5.626527138,2.13388055,939084188.6,67.75589877,12224110,76.82229533
2023,157.4047662,2.576888005,1.699553215,8.643901316,6.828297551,,,-2.566679177,-1176818114,58.8492683,12388571,-94.99224036